epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,279.458,1.79913,1.39112,1.68624,0.62201,0.78351,0.69191,0.33521,1.75952,1.49622,1.85137,0.00170696,0.00170696,0.00170696
150,281.368,1.86684,1.47013,1.82925,0.62201,0.78351,0.69191,0.33521,1.75952,1.49622,1.85137,0.00170498,0.00170498,0.00170498
151,283.307,1.76981,1.38193,1.70366,0.66628,0.72041,0.71869,0.34659,1.75855,1.43382,1.82556,0.001703,0.001703,0.001703
152,285.176,1.77166,1.44969,1.76067,0.546,0.74227,0.71628,0.32054,1.83225,1.44269,1.86492,0.00170102,0.00170102,0.00170102
153,287.141,1.77837,1.40523,1.74142,0.546,0.74227,0.71628,0.32054,1.83225,1.44269,1.86492,0.00169904,0.00169904,0.00169904
154,289.004,1.78583,1.41215,1.71353,0.69728,0.64948,0.74378,0.35364,1.792,1.40039,1.83222,0.00169706,0.00169706,0.00169706
155,290.887,1.75044,1.44379,1.70886,0.79855,0.61304,0.73959,0.35541,1.71163,1.42122,1.81102,0.00169508,0.00169508,0.00169508
156,292.882,1.73089,1.44051,1.68744,0.79855,0.61304,0.73959,0.35541,1.71163,1.42122,1.81102,0.0016931,0.0016931,0.0016931
157,294.923,1.80223,1.4165,1.69069,0.60712,0.74227,0.68465,0.31056,1.76912,1.43653,1.8628,0.00169112,0.00169112,0.00169112
158,296.845,1.78655,1.49379,1.76449,0.5991,0.67788,0.61814,0.32405,1.72719,1.40173,1.7746,0.00168914,0.00168914,0.00168914
159,298.778,1.87647,1.40528,1.68668,0.5991,0.67788,0.61814,0.32405,1.72719,1.40173,1.7746,0.00168716,0.00168716,0.00168716
160,300.787,1.72146,1.31555,1.60727,0.57117,0.6701,0.58462,0.29997,1.72869,1.45152,1.77672,0.00168518,0.00168518,0.00168518
161,302.788,1.72163,1.44565,1.66633,0.62526,0.72165,0.65125,0.34384,1.71169,1.35509,1.77149,0.0016832,0.0016832,0.0016832
162,304.837,1.72731,1.37943,1.68655,0.73758,0.68041,0.72958,0.38422,1.68056,1.27395,1.77246,0.00168122,0.00168122,0.00168122
163,306.692,1.55331,1.54264,1.5642,0.73758,0.68041,0.72958,0.38422,1.68056,1.27395,1.77246,0.00167924,0.00167924,0.00167924
164,308.542,1.67328,1.36463,1.71387,0.76432,0.6701,0.75193,0.40193,1.70266,1.26669,1.78469,0.00167726,0.00167726,0.00167726
165,310.488,1.74072,1.32983,1.68101,0.67335,0.6701,0.73486,0.38907,1.74814,1.32384,1.79979,0.00167528,0.00167528,0.00167528
166,312.426,1.67466,1.3775,1.60619,0.67335,0.6701,0.73486,0.38907,1.74814,1.32384,1.79979,0.0016733,0.0016733,0.0016733
167,314.279,1.68748,1.37115,1.64537,0.81707,0.53608,0.71298,0.32994,1.80652,1.44944,1.85085,0.00167132,0.00167132,0.00167132
168,316.175,1.67161,1.34984,1.62732,0.77269,0.64948,0.76656,0.39356,1.65705,1.34096,1.72319,0.00166934,0.00166934,0.00166934
169,318.235,1.7026,1.40924,1.70952,0.77269,0.64948,0.76656,0.39356,1.65705,1.34096,1.72319,0.00166736,0.00166736,0.00166736
170,320.352,1.62034,1.32406,1.60226,0.62684,0.762,0.75482,0.41168,1.59429,1.39659,1.69237,0.00166538,0.00166538,0.00166538
171,322.416,1.69045,1.37681,1.63782,0.70045,0.67502,0.75704,0.38543,1.65091,1.39126,1.74886,0.0016634,0.0016634,0.0016634
172,324.394,1.6977,1.29877,1.65141,0.70045,0.67502,0.75704,0.38543,1.65091,1.39126,1.74886,0.00166142,0.00166142,0.00166142
173,326.287,1.68228,1.46593,1.66094,0.71005,0.69072,0.75316,0.38886,1.64974,1.32024,1.76907,0.00165944,0.00165944,0.00165944
